user,date,text,favorite_count,hashtags,user_loc
gaoconnor,Thu Apr 23 12:37:14 +0000 2020,@ElisabethKuhns @BankofAmerica @sheribronstein How can people step away from their emails on any day right now when… https://t.co/sIoWnaksw6,1,[],
tori_andthecity,Thu Apr 23 12:32:46 +0000 2020,I've been on hold so long I forgot I was on the phone until this lady started talking 🤦🏾‍♀️ #bankofamerica,0,['bankofamerica'],in my zone
PeaceAtelier,Thu Apr 23 12:19:08 +0000 2020,“[A]lleging banks processed clients with larger loans 1st bcse they stood to generate more $ in fees. By the time t… https://t.co/4rAZoiyS2p,0,[],
crypto__mak,Thu Apr 23 10:46:32 +0000 2020,RT @crypto__mak: Bank of America: The S&amp;P 500 Can Plunge To New Lows Over The Coming Months https://t.co/9GNTNoHpis #Cryptocurrency #AANews…,0,"['Cryptocurrency', 'AANews']",United Kingdom
cvoter33,Thu Apr 23 09:41:40 +0000 2020,#bankofamerica #BoA #SBALoans They sure helped thier big business buddy's to my money then tried to hide it and to… https://t.co/Wl7JVhhqt5,0,"['bankofamerica', 'BoA', 'SBALoans']",
cvoter33,Thu Apr 23 09:35:40 +0000 2020,#bankofamerica #bofa Now I'm boke and hungry with not a dime to feed my family! Isnt Bank of America wonderful to i… https://t.co/ewVv1NswLp,0,"['bankofamerica', 'bofa']",
cvoter33,Thu Apr 23 09:32:36 +0000 2020,#bankofamerica #BoA #sba Ok so get this.. Bank of America came into my account in the middle of the night and depos… https://t.co/ZJKZK5lSzC,0,"['bankofamerica', 'BoA', 'sba']",
gtcpros,Thu Apr 23 08:58:54 +0000 2020,"#GOLD Prices will Nearly DOUBLE ⁉️ 
⚡️Take Charge &amp; Learn How to Buy GOLD Online with GTC Academy. Register Today f… https://t.co/NxKJYybHel",0,['GOLD'],"Cairo, Egypt"
onlinecheck,Thu Apr 23 08:11:25 +0000 2020,"SBA has released limited data showing granular loan activity by the bank, making it hard to pinpoint how many loans… https://t.co/3ZdsxjlJa5",0,[],"Essex, Connecticut"
SVanHoot,Thu Apr 23 08:05:29 +0000 2020,"RT @cmdusa: @purdue512 #bankofamerica same repeat email every 12 hours from BofA: At this time we haven't received the full, complete set o…",0,['bankofamerica'],United States
SVanHoot,Thu Apr 23 08:05:10 +0000 2020,RT @annemarsden: #BankofAmerica pushed our PPP application to the rear so it could process big loans first?? Our appl. was filed on 4/5 - t…,0,['BankofAmerica'],United States
LongLyndi,Thu Apr 23 05:55:40 +0000 2020,2 weeks after I uploaded my docs-and almost a week after the money ran out-Bank of America is finally ready to subm… https://t.co/MuKfL4mvN0,1,[],
sukiyaki_1,Thu Apr 23 04:21:08 +0000 2020,@MarisaKabas Love his accent!! He needs a Hollywood agent! But he's right - put 3 months of current scheduled payme… https://t.co/kfPJwumjRH,1,[],
moezulfi,Thu Apr 23 03:39:07 +0000 2020,"This is what I was watching on Wednesday, April 22nd, 2020. 

Gold to $3,000 soon?

#gold #realmoney… https://t.co/LP0QvDgbUK",0,"['gold', 'realmoney']","Toronto, Ontario"
Christo14212294,Thu Apr 23 03:22:51 +0000 2020,#bankofamerica   The business people in my area tell me what an arrogant bunch they are over at BOA.  Thank goodnes… https://t.co/f3Du3kCmqr,1,['bankofamerica'],USA
