,user,date,text,favorite_count,hashtags,user_loc
44,mmhhcox,Mon Apr 20 17:14:40 +0000 2020,RT @StopMoneyPipe: #JPMorganChase is the world’s worst banker of #climatechange — and they care a LOT about their reputation. So we’re taki…,0,"['JPMorganChase', 'climatechange']",
45,AllTheFunInOne,Mon Apr 20 16:43:08 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/cSBBs6un4x",1,[],"Chicago, Illinois USA"
46,AllTheFunInOne,Mon Apr 20 16:42:56 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/qZgGCJskW7",1,[],"Chicago, Illinois USA"
47,AllTheFunInOne,Mon Apr 20 16:42:49 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/SzP5FMuAx6",1,[],"Chicago, Illinois USA"
48,AllTheFunInOne,Mon Apr 20 16:42:42 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/WxQ6j5LIm8",1,[],"Chicago, Illinois USA"
49,AllTheFunInOne,Mon Apr 20 16:42:07 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/sskIe1EQrk",1,[],"Chicago, Illinois USA"
50,AllTheFunInOne,Mon Apr 20 16:42:00 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/Wit1ttz0S0",1,[],"Chicago, Illinois USA"
51,AllTheFunInOne,Mon Apr 20 16:41:53 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/9DjrYC6QF9",1,[],"Chicago, Illinois USA"
52,AllTheFunInOne,Mon Apr 20 16:41:46 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/ZXzhTCLnRD",1,[],"Chicago, Illinois USA"
53,AllTheFunInOne,Mon Apr 20 16:41:39 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/aILRjtYKwQ",1,[],"Chicago, Illinois USA"
54,AllTheFunInOne,Mon Apr 20 16:41:32 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/UMdeNGIS3J",1,[],"Chicago, Illinois USA"
55,AllTheFunInOne,Mon Apr 20 16:41:15 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/PlqrhV3aBT",0,[],"Chicago, Illinois USA"
56,AllTheFunInOne,Mon Apr 20 16:41:01 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/tnc5VrDDxe",0,[],"Chicago, Illinois USA"
57,AllTheFunInOne,Mon Apr 20 16:40:50 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/b4gUnHotmA",0,[],"Chicago, Illinois USA"
58,AllTheFunInOne,Mon Apr 20 16:40:19 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/ImkdidGWcH",1,[],"Chicago, Illinois USA"
59,AllTheFunInOne,Mon Apr 20 16:39:55 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/NRRYcYmfaX",1,[],"Chicago, Illinois USA"
60,AllTheFunInOne,Mon Apr 20 16:39:47 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/Iw7eELR1IN",1,[],"Chicago, Illinois USA"
61,AllTheFunInOne,Mon Apr 20 16:39:07 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/Br5V7Sr6zm",1,[],"Chicago, Illinois USA"
62,andytuit,Mon Apr 20 16:21:37 +0000 2020,RT @StopMoneyPipe: #JPMorganChase is the world’s worst banker of #climatechange — and they care a LOT about their reputation. So we’re taki…,0,"['JPMorganChase', 'climatechange']",Italia
63,AllTheFunInOne,Mon Apr 20 16:11:47 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/dcwPHaB72g",1,[],"Chicago, Illinois USA"
64,AllTheFunInOne,Mon Apr 20 16:11:41 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/PxbRx5eZkZ",1,[],"Chicago, Illinois USA"
65,AllTheFunInOne,Mon Apr 20 16:11:17 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/qDC0kpJDxP",1,[],"Chicago, Illinois USA"
66,AllTheFunInOne,Mon Apr 20 16:10:13 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/7fMlyeFx7Z",1,[],"Chicago, Illinois USA"
67,AllTheFunInOne,Mon Apr 20 16:09:58 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/f9pZl0OhdJ",1,[],"Chicago, Illinois USA"
68,AllTheFunInOne,Mon Apr 20 16:09:49 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/5ZpFbNenVK",1,[],"Chicago, Illinois USA"
69,AllTheFunInOne,Mon Apr 20 16:09:39 +0000 2020,"GoFunMe was created for the Animals.
I applied for SBA and Chase Bank failed to help the animals! 10 year client wi… https://t.co/fxQriYvidD",1,[],"Chicago, Illinois USA"
